sampleid,PHt,Hs_obs,Hs_exp,IR,HL,HL_all
1300,0.8,1.18614020950846,1.17325385961568,-0.0859461453338251,0.186071595654359,0.187889346376417
1301,0.95,1.4085414987913,1.39323895829363,-0.298180467879688,0.0228847919879403,0.0239338404254321
1302,0.6,0.889605157131346,0.879940394711763,0.150279007119492,0.410479441373694,0.414480730812879
1304,0.65,0.963738920225624,0.953268760937743,-0.00398740818467994,0.30121029923934,0.299672672362855
1305,0.7,1.0378726833199,1.02659712716372,0.00386697602474868,0.291823332698006,0.294604252445578
1307,0.85,1.26027397260274,1.24658222584166,-0.236363636363636,0.107098920520507,0.11121026814605
1310,0.45,0.667203867848509,0.659955296033822,0.285745093810653,0.547822847538683,0.54852655668208
1316,0.5,0.741337630942788,0.733283662259803,0.252488320130002,0.441139777866339,0.440754635578357
1320,0.55,0.815471394037067,0.806612028485783,0.178071065989848,0.394937015923622,0.393898481537408
1326,0.7,1.0378726833199,1.02659712716372,-0.057905544147844,0.240513402526294,0.242576040367282
1331,0.7,1.0378726833199,1.02659712716372,-0.0471544715447154,0.237359866927729,0.238246686862813
1332,0.6,0.889605157131346,0.879940394711763,0.115384615384615,0.382197251918978,0.377609476557151
1333,0.6,0.889605157131346,0.879940394711763,0.0935960591133005,0.318325160709026,0.322485720449067
1334,0.65,0.963738920225624,0.953268760937743,0.0562241073189979,0.305901616620172,0.304883184363306
1336,0.65,0.963738920225624,0.953268760937743,0.0152326060107041,0.322020168766136,0.323515067388226
1339,0.65,0.963738920225624,0.953268760937743,0.0506052788251638,0.278862647930276,0.279820110484801
1341,0.6,0.889605157131346,0.879940394711763,0.159177456207159,0.329748063694488,0.332111403944814
1345,0.7,1.0378726833199,1.02659712716372,-0.102739726027397,0.263077642818776,0.267754945085865
1346,0.75,1.11200644641418,1.0999254933897,-0.106655974338412,0.240184187271499,0.233307228407162
1347,0.55,0.815471394037067,0.806612028485783,0.181891673403395,0.385099544296779,0.382293356843399
1348,0.7,1.0378726833199,1.02659712716372,-0.0607370805023676,0.241219482612236,0.244956434473509
1351,0.75,1.11200644641418,1.0999254933897,-0.0635838150289017,0.190637291424809,0.187964847450315
1353,0.75,1.11200644641418,1.0999254933897,-0.0615384615384616,0.209597491033216,0.208498325845753
1357,0.7,1.0378726833199,1.02659712716372,-0.0713245997088791,0.246019094484778,0.242554468631883
1359,0.8,1.18614020950846,1.17325385961568,-0.159968479117415,0.151889522291338,0.153668132919406
1360,0.75,1.11200644641418,1.0999254933897,-0.0458507010231147,0.233643199972277,0.230211684377374
1361,0.7,1.0378726833199,1.02659712716372,-0.0189873417721519,0.274964046228753,0.277191641421484
1364,0.6,0.889605157131346,0.879940394711763,0.14252427184466,0.373425398090552,0.38030969508821
1367,0.8,1.18614020950846,1.17325385961568,-0.162717219589258,0.151534316358533,0.152977368435862
1368,0.55,0.815471394037067,0.806612028485783,0.191854661609104,0.39483738499125,0.399087890753229
1369,0.65,0.963738920225624,0.953268760937743,0.0244698205546493,0.28410410132899,0.287179823862091
1371,0.7,1.0378726833199,1.02659712716372,-0.0385003023583955,0.258745863150417,0.256439631967436
1372,0.6,0.889605157131346,0.879940394711763,0.0547945205479453,0.335492003534732,0.342707815533525
1375,0.6,0.889605157131346,0.879940394711763,0.0928512736236648,0.345277493805555,0.338599337841513
1377,0.85,1.26027397260274,1.24658222584166,-0.252703243892671,0.1273889764871,0.127140056836833
1378,0.65,0.963738920225624,0.953268760937743,-0.0114164904862578,0.271424982239703,0.275319589949447
1379,0.65,0.963738920225624,0.953268760937743,0.0307941653160454,0.338298996759829,0.33486602076514
1380,0.75,1.11200644641418,1.0999254933897,-0.0538373424971363,0.24034013133956,0.239974301497829
1381,0.5,0.741337630942788,0.733283662259803,0.238725693007861,0.42160345156204,0.423435345757402
1382,0.75,1.11200644641418,1.0999254933897,-0.0145193898180482,0.2401018834578,0.242867258795172
1383,0.65,0.963738920225624,0.953268760937743,0.0376181854757594,0.294643321262107,0.293489087515593
1384,0.45,0.667203867848509,0.659955296033822,0.318518518518519,0.577915720894772,0.58398345541685
1385,0.8,1.18614020950846,1.17325385961568,-0.153153153153153,0.167011765113579,0.16821686159387
1386,0.6,0.889605157131346,0.879940394711763,0.0775015667432631,0.373451388768562,0.373412836120464
1395,0.6,0.889605157131346,0.879940394711763,0.111647555823778,0.386983868452515,0.387081813151255
1398,0.55,0.815471394037067,0.806612028485783,0.182056981208325,0.399598010846776,0.402381800958535
1399,0.8,1.18614020950846,1.17325385961568,-0.130785481083157,0.142810112106458,0.144378218174656
1649,0.45,0.667203867848509,0.659955296033822,0.333333333333333,0.514047961464488,0.513601448119976
1651,0.65,0.963738920225624,0.953268760937743,0.0858016434167782,0.287716805572401,0.293146753453822
1654,0.75,1.11200644641418,1.0999254933897,-0.0842663523865646,0.191594614731516,0.193344650678572
1659,0.75,1.11200644641418,1.0999254933897,-0.00766703176341723,0.288773759811481,0.29058534435055
1669,0.7,1.0378726833199,1.02659712716372,-0.053147996729354,0.228921560133765,0.233637838699693
