response,est,lwr,upr,bf,prob,Rhat_no,Rhat_yes
Average path,0.0795038304782349,0.000234525793298882,0.387640632949908,8.27489635932941,0.886318693270049,0.999702150973737,1.00052647403675
Straight line,0.0505655341184225,0.000120860601533212,0.346988224068304,10.3745456962436,0.913319556889144,1.0000332431327,1.00070195934552
Curvilinear,0.101470710771876,0.000347821227668809,0.4469125788128,6.82691916404565,0.87546725733064,1.00011754783841,1.00072175175615
