f,f2,sample_ID,file_name,bird_ID,id
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 208_1348 2021-10-26 Snap-2998_inv.jpg,Ruff 208_1348 2021-10-26 Snap-2998_inv.jpg,208,Ruff 208_1348 2021-10-26 Snap-2998_inv.jpg,1348,024
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 125_G14223 2021-06-17 Snap-1338_inv.jpg,Ruff 125_G14223 2021-06-17 Snap-1338_inv.jpg,125,Ruff 125_G14223 2021-06-17 Snap-1338_inv.jpg,G14223,025
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/6/Ruff 068_1689 2021-11-11 Snap-3338.jpg,Ruff 068_1689 2021-11-11 Snap-3338.jpg,068,Ruff 068_1689 2021-11-11 Snap-3338.jpg,1689,026
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 225_1360 2021-10-14 Snap-2435_inv.jpg,Ruff 225_1360 2021-10-14 Snap-2435_inv.jpg,225,Ruff 225_1360 2021-10-14 Snap-2435_inv.jpg,1360,027
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 163_G17267 2021-07-28 Snap-1754_inv.jpg,Ruff 163_G17267 2021-07-28 Snap-1754_inv.jpg,163,Ruff 163_G17267 2021-07-28 Snap-1754_inv.jpg,G17267,028
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 026_1682 2021-05-20 Snap-0881_inv.jpg,Ruff 026_1682 2021-05-20 Snap-0881_inv.jpg,026,Ruff 026_1682 2021-05-20 Snap-0881_inv.jpg,1682,029
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 136_G200071 2021-07-19 Snap-1653_inv.jpg,Ruff 136_G200071 2021-07-19 Snap-1653_inv.jpg,136,Ruff 136_G200071 2021-07-19 Snap-1653_inv.jpg,G200071,030
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 041_cz005 2021-05-25 Snap-1019_inv.jpg,Ruff 041_cz005 2021-05-25 Snap-1019_inv.jpg,041,Ruff 041_cz005 2021-05-25 Snap-1019_inv.jpg,cz005,031
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 187_G200067 2021-18-2021 Snap-2496_inv.jpg,Ruff 187_G200067 2021-18-2021 Snap-2496_inv.jpg,187,Ruff 187_G200067 2021-18-2021 Snap-2496_inv.jpg,G200067,032
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 193_1369 2021-10-18 Snap-2505_inv.jpg,Ruff 193_1369 2021-10-18 Snap-2505_inv.jpg,193,Ruff 193_1369 2021-10-18 Snap-2505_inv.jpg,1369,033
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 196_1371 2021-10-21 Snap-2715_inv.jpg,Ruff 196_1371 2021-10-21 Snap-2715_inv.jpg,196,Ruff 196_1371 2021-10-21 Snap-2715_inv.jpg,1371,034
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 149_1681 2021-10-06 Snap-2094_inv.jpg,Ruff 149_1681 2021-10-06 Snap-2094_inv.jpg,149,Ruff 149_1681 2021-10-06 Snap-2094_inv.jpg,1681,035
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 057_1332 2021-06-06 Snap-1173_inv.jpg,Ruff 057_1332 2021-06-06 Snap-1173_inv.jpg,057,Ruff 057_1332 2021-06-06 Snap-1173_inv.jpg,1332,036
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 019_704105 2021-05-20 Snap-0774_inv.jpg,Ruff 019_704105 2021-05-20 Snap-0774_inv.jpg,019,Ruff 019_704105 2021-05-20 Snap-0774_inv.jpg,704105,037
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 214_1353 2021-11-018 Snap-3174_inv.jpg,Ruff 214_1353 2021-11-018 Snap-3174_inv.jpg,214,Ruff 214_1353 2021-11-018 Snap-3174_inv.jpg,1353 ,038
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 050_952 2021-05-21 Snap-0925_inv.jpg,Ruff 050_952 2021-05-21 Snap-0925_inv.jpg,050,Ruff 050_952 2021-05-21 Snap-0925_inv.jpg,952,039
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/6/Ruff 084_1375 2021-11-11 Snap-3353.jpg,Ruff 084_1375 2021-11-11 Snap-3353.jpg,084,Ruff 084_1375 2021-11-11 Snap-3353.jpg,1375,040
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 134_G200531 2021-07-13 Snap-1572_inv.jpg,Ruff 134_G200531 2021-07-13 Snap-1572_inv.jpg,134,Ruff 134_G200531 2021-07-13 Snap-1572_inv.jpg,G200531,041
