pic,File Name,Pixels,measured,part,manip,f,f2,sample_ID,file_name,bird_ID
005,005 (17).png,59.061575936271,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,51,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,1310
005,005 (18).png,347.748147320816,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,51,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,1310
005,005 (19).png,292.0838105374,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,51,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,1310
005,005 (20).png,1070.01310985,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,51,Ruff 051_1310 2021-05-21 Snap-0908_inv.jpg,1310
006,006 (21).png,52.8033032761537,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,151,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,G200063
006,006 (22).png,359.67641526203,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,151,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,G200063
006,006 (23).png,286.778743107256,2022-03-21 14-28-42,Midpiece,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,151,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,G200063
006,006 (24).png,1083.98604050458,2022-03-21 14-28-42,Tail,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,151,Ruff 151_G200063 2021-10-06 Snap-2120_inv.jpg,G200063
007,007 (25).png,68.7221113132441,2022-03-21 14-28-42,Acrosome,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,1395
007,007 (26).png,344.843601750321,2022-03-21 14-28-42,Nucleus,,/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3082_inv.jpg,1395
