datetime,bird,end,temp
2023-09-19 14:47,1097,2023-09-19 14:51,42.3125
2023-09-19 14:52,1064,2023-09-19 14:57,41.75
2023-09-19 15:09,1109,2023-09-19 15:13,40.5625
2023-09-19 15:16,960,2023-09-19 15:20,41.25
2023-09-19 15:22,1021,2023-09-19 15:26,41.125
