*CREATOR
msr_cutter.exe,[V6.02.06]
msr2csv.exe,[V6.02.06]

*STARTTIME
2023-09-19,15:22:44,

*MODUL
NAME,MSR323207,MSR323207
*NAME
NAME, , 

ID,[C26113 V5.108],[C26113 V5.108]

*CHANNEL
TIME,T,T2

*UNIT
,°C,°C

*LIMITS
ALARM,,
RECRD,,
LIMIT1,,
LIMIT2,,

*DATA
2023-09-19 15:22:44.578,24.4,23.9375
2023-09-19 15:22:49.578,24.5,23.875
2023-09-19 15:22:54.578,24.6,23.75
2023-09-19 15:22:59.578,24.6,23.9375
2023-09-19 15:23:04.578,24.6,24.125
2023-09-19 15:23:09.578,24.6,29.375
2023-09-19 15:23:14.578,24.6,32.875
2023-09-19 15:23:19.578,24.6,34.875
2023-09-19 15:23:24.578,24.6,36.3125
2023-09-19 15:23:29.578,24.6,37.25
2023-09-19 15:23:34.578,24.6,38
2023-09-19 15:23:39.578,24.6,38.5
2023-09-19 15:23:44.578,24.5,39
2023-09-19 15:23:49.578,24.5,39.375
2023-09-19 15:23:54.578,24.5,39.6875
2023-09-19 15:23:59.578,24.5,39.9375
2023-09-19 15:24:04.578,24.5,40.125
2023-09-19 15:24:09.578,24.5,40.25
2023-09-19 15:24:14.578,24.5,40.375
2023-09-19 15:24:19.578,24.5,40.5
2023-09-19 15:24:24.578,24.5,40.5625
2023-09-19 15:24:29.578,24.4,40.625
2023-09-19 15:24:34.578,24.4,40.75
2023-09-19 15:24:39.578,24.4,40.75
2023-09-19 15:24:44.578,24.4,40.875
2023-09-19 15:24:49.578,24.4,40.875
2023-09-19 15:24:54.578,24.4,40.875
2023-09-19 15:24:59.578,24.4,40.9375
2023-09-19 15:25:04.578,24.4,41
2023-09-19 15:25:09.578,24.4,41
2023-09-19 15:25:14.578,24.4,41
2023-09-19 15:25:19.578,24.4,41
2023-09-19 15:25:24.578,24.4,41
2023-09-19 15:25:29.578,24.4,41.0625
2023-09-19 15:25:34.578,24.4,41.0625
2023-09-19 15:25:39.578,24.4,41.0625
2023-09-19 15:25:44.578,24.3,41.0625
2023-09-19 15:25:49.578,24.3,41.125
2023-09-19 15:25:54.578,24.3,41.125
2023-09-19 15:25:59.578,24.3,41.125
2023-09-19 15:26:04.578,24.3,41.125
2023-09-19 15:26:09.578,24.3,41.125
2023-09-19 15:26:14.578,24.3,41.125
2023-09-19 15:26:19.578,24.3,41.125
2023-09-19 15:26:24.578,24.3,41.125
2023-09-19 15:26:29.578,24.3,41.125
2023-09-19 15:26:34.578,24.3,39.5
2023-09-19 15:26:39.578,24.3,36.3125
