*CREATOR
msr_cutter.exe,[V6.02.06]
msr2csv.exe,[V6.02.06]

*STARTTIME
2023-09-19,14:47:09,

*MODUL
NAME,MSR323207,MSR323207
*NAME
NAME, , 

ID,[C26113 V5.108],[C26113 V5.108]

*CHANNEL
TIME,T,T2

*UNIT
,°C,°C

*LIMITS
ALARM,,
RECRD,,
LIMIT1,,
LIMIT2,,

*DATA
2023-09-19 14:47:09.357,24.5,22.375
2023-09-19 14:47:14.357,24.5,22.375
2023-09-19 14:47:19.357,24.5,22.375
2023-09-19 14:47:24.357,24.5,22.375
2023-09-19 14:47:29.357,24.5,22.375
2023-09-19 14:47:34.357,24.6,22.375
2023-09-19 14:47:39.357,24.6,22.375
2023-09-19 14:47:44.357,24.6,22.375
2023-09-19 14:47:49.357,24.6,22.3125
2023-09-19 14:47:54.357,24.6,22.375
2023-09-19 14:47:59.357,24.6,24
2023-09-19 14:48:04.357,24.6,28.625
2023-09-19 14:48:09.357,24.6,32.625
2023-09-19 14:48:14.357,24.6,35.125
2023-09-19 14:48:19.357,24.6,36.5
2023-09-19 14:48:24.357,24.6,37.9375
2023-09-19 14:48:29.357,24.6,39.125
2023-09-19 14:48:34.357,24.6,40
2023-09-19 14:48:39.357,24.6,40.625
2023-09-19 14:48:44.357,24.6,41
2023-09-19 14:48:49.357,24.6,41.25
2023-09-19 14:48:54.357,24.6,41.5
2023-09-19 14:48:59.357,24.6,41.625
2023-09-19 14:49:04.357,24.6,41.6875
2023-09-19 14:49:09.357,24.6,41.75
2023-09-19 14:49:14.357,24.6,41.875
2023-09-19 14:49:19.357,24.6,41.9375
2023-09-19 14:49:24.357,24.6,41.9375
2023-09-19 14:49:29.357,24.6,42
2023-09-19 14:49:34.357,24.6,42
2023-09-19 14:49:39.357,24.6,42.0625
2023-09-19 14:49:44.357,24.6,42.125
2023-09-19 14:49:49.357,24.6,42.125
2023-09-19 14:49:54.357,24.6,42.125
2023-09-19 14:49:59.357,24.6,42.1875
2023-09-19 14:50:04.357,24.6,42.25
2023-09-19 14:50:09.357,24.6,42.25
2023-09-19 14:50:14.357,24.6,42.25
2023-09-19 14:50:19.357,24.6,42.25
2023-09-19 14:50:24.357,24.6,42.25
2023-09-19 14:50:29.357,24.6,42.25
2023-09-19 14:50:34.357,24.6,42.25
2023-09-19 14:50:39.357,24.6,42.3125
2023-09-19 14:50:44.357,24.6,42.375
2023-09-19 14:50:49.357,24.6,42.3125
2023-09-19 14:50:54.357,24.6,42.3125
2023-09-19 14:50:59.357,24.6,41.125
2023-09-19 14:51:04.357,24.6,35.5
2023-09-19 14:51:09.357,24.6,33.0625
2023-09-19 14:51:14.357,24.6,31.8125
2023-09-19 14:51:19.357,24.5,30.875
2023-09-19 14:51:24.357,24.5,30.125
2023-09-19 14:51:29.357,24.5,29.5
