*CREATOR
msr_cutter.exe,[V6.02.06]
msr2csv.exe,[V6.02.06]

*STARTTIME
2023-09-19,15:16:31,

*MODUL
NAME,MSR323207,MSR323207
*NAME
NAME, , 

ID,[C26113 V5.108],[C26113 V5.108]

*CHANNEL
TIME,T,T2

*UNIT
,°C,°C

*LIMITS
ALARM,,
RECRD,,
LIMIT1,,
LIMIT2,,

*DATA
2023-09-19 15:16:31.334,24.8,24.5
2023-09-19 15:16:36.334,25.0,24.375
2023-09-19 15:16:41.334,24.9,24.25
2023-09-19 15:16:46.334,24.9,24.1875
2023-09-19 15:16:51.334,24.9,27.5625
2023-09-19 15:16:56.334,24.9,32.125
2023-09-19 15:17:01.334,24.9,34.875
2023-09-19 15:17:06.334,24.8,36.5625
2023-09-19 15:17:11.334,24.8,37.625
2023-09-19 15:17:16.334,24.8,38.375
2023-09-19 15:17:21.334,24.8,38.8125
2023-09-19 15:17:26.334,24.8,39.1875
2023-09-19 15:17:31.334,24.8,39.5
2023-09-19 15:17:36.334,24.8,39.75
2023-09-19 15:17:41.334,24.8,39.875
2023-09-19 15:17:46.334,24.8,40.125
2023-09-19 15:17:51.334,24.8,40.25
2023-09-19 15:17:56.334,24.8,40.375
2023-09-19 15:18:01.334,24.7,40.5625
2023-09-19 15:18:06.334,24.7,40.625
2023-09-19 15:18:11.334,24.7,40.75
2023-09-19 15:18:16.334,24.7,40.875
2023-09-19 15:18:21.334,24.6,40.875
2023-09-19 15:18:26.334,24.6,41
2023-09-19 15:18:31.334,24.6,41
2023-09-19 15:18:36.334,24.6,41.0625
2023-09-19 15:18:41.334,24.6,41.125
2023-09-19 15:18:46.334,24.6,41.125
2023-09-19 15:18:51.334,24.6,41.125
2023-09-19 15:18:56.334,24.6,41.125
2023-09-19 15:19:01.334,24.6,41.1875
2023-09-19 15:19:06.334,24.6,41.1875
2023-09-19 15:19:11.334,24.6,41.25
2023-09-19 15:19:16.334,24.5,41.25
2023-09-19 15:19:21.334,24.5,41.25
2023-09-19 15:19:26.334,24.5,41.25
2023-09-19 15:19:31.334,24.5,41.25
2023-09-19 15:19:36.334,24.5,41.25
2023-09-19 15:19:41.334,24.5,41.25
2023-09-19 15:19:46.334,24.5,41.25
2023-09-19 15:19:51.334,24.5,41.25
2023-09-19 15:19:56.334,24.5,39.4375
2023-09-19 15:20:01.334,24.5,36.25
2023-09-19 15:20:06.334,24.4,34.5
