effect,es_ci.Curvilinear,es_ci.Straight line,es_ci.Average path
Intercept (independent), 0.03 (-0.16 - 0.22), 0.01 (-0.19 - 0.22), 0.00 (-0.17 - 0.19)
Motile count, 0.71 ( 0.56 - 0.86), 0.60 ( 0.43 - 0.76), 0.73 ( 0.59 - 0.87)
Satellite relative to independent,-0.08 (-0.42 - 0.25), 0.15 (-0.23 - 0.54), 0.09 (-0.24 - 0.43)
Faeder relative to independent,-0.10 (-0.66 - 0.42),-0.62 (-1.24 --0.02),-0.36 (-0.89 - 0.16)
Faeder relative to satellite,-0.02 (-0.61 - 0.56),-0.78 (-1.42 --0.13),-0.46 (-1.03 - 0.09)
